Country,Health-Care Capabilities,continent,region
Guadeloupe,4,Americas,Caribbean
Haiti,1,Americas,Caribbean
Jamaica,3,Americas,Caribbean
Martinique,4,Americas,Caribbean
Montserrat,,Americas,Caribbean
Netherlands Antilles,5,Americas,Caribbean
Puerto Rico,,Americas,Caribbean
Saint Barthelemy,,Americas,Caribbean
Saint Kitts and Nevis,3,Americas,Caribbean
Saint Lucia,3,Americas,Caribbean
Saint Martin (French part),,Americas,Caribbean
Saint Vincent and the Grenadines,3,Americas,Caribbean
Sint Maarten (Dutch part),,Americas,Caribbean
Trinidad and Tobago,3,Americas,Caribbean
Turks and Caicos Islands,,Americas,Caribbean
"Virgin Islands, British",,Americas,Caribbean
"Virgin Islands, U.S.",,Americas,Caribbean
Belize,2,Americas,Central America
Costa Rica,,Americas,Central America
El Salvador,2,Americas,Central America
Guatemala,2,Americas,Central America
Honduras,2,Americas,Central America
Mexico,3,Americas,Central America
Nicaragua,2,Americas,Central America
Panama,3,Americas,Central America
Bermuda,,Americas,Northern America
Canada,5,Americas,Northern America
Greenland,5,Americas,Northern America
Saint Pierre and Miquelon,,Americas,Northern America
United States,5,Americas,Northern America
Argentina,3,Americas,South America
"Bolivia, Plurinational State of",2,Americas,South America
Brazil,2,Americas,South America
Chile,4,Americas,South America
Colombia,2,Americas,South America
Ecuador,2,Americas,South America
Falkland Islands (Malvinas),,Americas,South America
French Guiana,2,Americas,South America
Guyana,2,Americas,South America
Paraguay,2,Americas,South America
Peru,3,Americas,South America
Suriname,1,Americas,South America
Uruguay,3,Americas,South America
"Venezuela, Bolivarian Republic of",4,Americas,South America
Kazakhstan,2,Asia,Central Asia
Kyrgyzstan,2,Asia,Central Asia
Tajikistan,1,Asia,Central Asia
Turkmenistan,2,Asia,Central Asia
Uzbekistan,2,Asia,Central Asia
China,2,Asia,Eastern Asia
Hong Kong,,Asia,Eastern Asia
Japan,5,Asia,Eastern Asia
"Korea, Democratic People's Republic of",1,Asia,Eastern Asia
"Korea, Republic of",4,Asia,Eastern Asia
Macao,,Asia,Eastern Asia
Mongolia,2,Asia,Eastern Asia
Brunei Darussalam,4,Asia,South-Eastern Asia
Cambodia,2,Asia,South-Eastern Asia
Indonesia,2,Asia,South-Eastern Asia
Lao People's Democratic Republic,1,Asia,South-Eastern Asia
Malaysia,4,Asia,South-Eastern Asia
Myanmar,1,Asia,South-Eastern Asia
Philippines,3,Asia,South-Eastern Asia
Singapore,2,Asia,South-Eastern Asia
Thailand,4,Asia,South-Eastern Asia
Timor-Leste,1,Asia,South-Eastern Asia
Viet Nam,2,Asia,South-Eastern Asia
Afghanistan,2,Asia,Southern Asia
Bangladesh,2,Asia,Southern Asia
Bhutan,2,Asia,Southern Asia
India,2,Asia,Southern Asia
"Iran, Islamic Republic of",3,Asia,Southern Asia
Maldives,3,Asia,Southern Asia
Nepal,1,Asia,Southern Asia
Pakistan,2,Asia,Southern Asia
Sri Lanka,3,Asia,Southern Asia
Armenia,2,Asia,Western Asia
Azerbaijan,2,Asia,Western Asia
Bahrain,4,Asia,Western Asia
Cyprus,4,Asia,Western Asia
Georgia,3,Asia,Western Asia
Iraq,2,Asia,Western Asia
Israel,5,Asia,Western Asia
Jordan,3,Asia,Western Asia
Kuwait,4,Asia,Western Asia
Lebanon,3,Asia,Western Asia
Oman,3,Asia,Western Asia
"Palestine, State of",1,Asia,Western Asia
Qatar,4,Asia,Western Asia
Saudi Arabia,4,Asia,Western Asia
Syrian Arab Republic,3,Asia,Western Asia
Turkey,3,Asia,Western Asia
United Arab Emirates,4,Asia,Western Asia
Yemen,1,Asia,Western Asia
Belarus,2,Europe,Eastern Europe
Bulgaria,3,Europe,Eastern Europe
Czech Republic,4,Europe,Eastern Europe
Hungary,4,Europe,Eastern Europe
"Moldova, Republic of",2,Europe,Eastern Europe
Poland,4,Europe,Eastern Europe
Romania,3,Europe,Eastern Europe
Russian Federation,3,Europe,Eastern Europe
Slovakia,4,Europe,Eastern Europe
Ukraine,3,Europe,Eastern Europe
Aland Islands,,Europe,Northern Europe
Denmark,4,Europe,Northern Europe
Estonia,4,Europe,Northern Europe
Faroe Islands,,Europe,Northern Europe
Finland,5,Europe,Northern Europe
Guernsey,,Europe,Northern Europe
Iceland,5,Europe,Northern Europe
Ireland,5,Europe,Northern Europe
Isle of Man,,Europe,Northern Europe
Jersey,,Europe,Northern Europe
Latvia,4,Europe,Northern Europe
Lithuania,4,Europe,Northern Europe
Norway,5,Europe,Northern Europe
Svalbard and Jan Mayen,,Europe,Northern Europe
Sweden,5,Europe,Northern Europe
United Kingdom,5,Europe,Northern Europe
Albania,2,Europe,Southern Europe
Andorra,5,Europe,Southern Europe
Bosnia and Herzegovina,3,Europe,Southern Europe
Croatia,4,Europe,Southern Europe
Gibraltar,,Europe,Southern Europe
Greece,4,Europe,Southern Europe
Holy See (Vatican City State),,Europe,Southern Europe
Italy,5,Europe,Southern Europe
"Macedonia, the former Yugoslav Republic of",3,Europe,Southern Europe
Malta,4,Europe,Southern Europe
Montenegro,3,Europe,Southern Europe
Portugal,5,Europe,Southern Europe
San Marino,5,Europe,Southern Europe
Serbia,3,Europe,Southern Europe
Slovenia,4,Europe,Southern Europe
Spain,5,Europe,Southern Europe
Austria,5,Europe,Western Europe
Belgium,5,Europe,Western Europe
France,5,Europe,Western Europe
Germany,5,Europe,Western Europe
Liechtenstein,,Europe,Western Europe
Luxembourg,5,Europe,Western Europe
Monaco,5,Europe,Western Europe
Netherlands,5,Europe,Western Europe
Switzerland,5,Europe,Western Europe
Australia,5,Oceania,Australia and New Zealand
New Zealand,5,Oceania,Australia and New Zealand
Norfolk Island,,Oceania,Australia and New Zealand
Fiji,3,Oceania,Melanesia
New Caledonia,4,Oceania,Melanesia
Papua New Guinea,2,Oceania,Melanesia
Solomon Islands,2,Oceania,Melanesia
Vanuatu,2,Oceania,Melanesia
Guam,,Oceania,Micronesia
Kiribati,2,Oceania,Micronesia
Marshall Islands,2,Oceania,Micronesia
"Micronesia, Federated States of",2,Oceania,Micronesia
Nauru,2,Oceania,Micronesia
Northern Mariana Islands,,Oceania,Micronesia
Palau,2,Oceania,Micronesia
American Samoa,3,Oceania,Polynesia
Cook Islands,,Oceania,Polynesia
French Polynesia,4,Oceania,Polynesia
Niue,,Oceania,Polynesia
Pitcairn,,Oceania,Polynesia
Samoa,3,Oceania,Polynesia
Tokelau,,Oceania,Polynesia
Tonga,,Oceania,Polynesia
Tuvalu,2,Oceania,Polynesia
Wallis and Futuna,,Oceania,Polynesia
